MeoDemoSat.UTCGregorian,MeoDemoSat.ElapsedSecs,MeoDemoSat.Earth.Latitude,MeoDemoSat.Earth.Longitude,MeoDemoSat.Earth.Altitude
09 Jan 2026 22:42:35.816,772955.8156166459,8.098801409996986,-112.7168789155026,900.1027191431604
09 Jan 2026 22:45:36.021,773136.0209240927,17.17408756708946,-107.9367981399883,914.0143477471202
09 Jan 2026 22:48:36.726,773316.7259619688,26.06569237508097,-102.6027016244949,929.732706619593
09 Jan 2026 22:51:37.992,773497.9916366399,34.64098587971201,-96.29876677409662,946.5429985197616
09 Jan 2026 22:54:39.878,773679.8779269098,42.69938437148438,-88.43414954670916,963.6516439280267
09 Jan 2026 22:57:42.430,773862.429524248,49.91139526349507,-78.17054147600848,980.2421808452673
09 Jan 2026 23:00:45.642,774045.6422717543,55.7291300507699,-64.50126553839689,995.5291588960208
09 Jan 2026 23:03:49.459,774229.4593108934,59.34446840277034,-46.93781400794168,1008.812782210209
09 Jan 2026 23:06:53.802,774413.802089612,59.95225330276408,-27.00689821976603,1019.530174714946
09 Jan 2026 23:09:58.593,774598.5932314186,57.38556569966985,-8.242335196621934,1027.291889095137
09 Jan 2026 23:13:03.746,774783.7463353411,52.28809645061913,6.881618451010808,1031.897695837787
09 Jan 2026 23:16:09.148,774969.1484015901,45.52377795000857,18.28547400756244,1033.334170173163
09 Jan 2026 23:19:14.667,775154.6671153279,37.74165530853578,26.91497178415782,1031.757238735851
09 Jan 2026 23:22:20.177,775340.1765943039,29.34304992563341,33.69806912574855,1027.460926867089
09 Jan 2026 23:25:25.572,775525.572133041,20.5685512400851,39.31204779183628,1020.835659882298
09 Jan 2026 23:28:30.764,775710.7642555609,11.57015787834126,44.22893513483562,1012.322330683493
09 Jan 2026 23:31:35.671,775895.6708117737,2.454699200481937,48.79502782280267,1002.368041561397
09 Jan 2026 23:34:40.221,776080.2212104434,-6.691168286707074,53.29496093937829,991.3883595571788
09 Jan 2026 23:37:44.364,776264.3641008879,-15.78437095409361,58.00226149448282,979.7410210391063
09 Jan 2026 23:40:48.065,776448.0650011101,-24.72977711830737,63.22714929379593,967.7149917468259
09 Jan 2026 23:43:51.299,776631.2989640515,-33.39955999044013,69.37343488020015,955.5352363747706
09 Jan 2026 23:46:54.051,776814.0511031379,-41.59996624671573,77.01410498660655,943.3800856564594
