TargetSat.UTCGregorian,TargetSat.ElapsedSecs,TargetSat.Earth.Latitude,TargetSat.Earth.Longitude,TargetSat.Earth.Altitude
01 Jan 2026 02:13:11.671,7991.670703631826,-7.65556614615191,124.5612432479411,300.3764954171229
01 Jan 2026 02:14:40.840,8080.840216262732,-9.809400421502561,129.7621007666966,300.6158403341633
01 Jan 2026 02:16:10.009,8170.0086825178,-11.87077448967113,135.0332740707445,300.8978677890855
01 Jan 2026 02:17:39.178,8259.177942434326,-13.81833037552276,140.3869837887215,301.2106075584006
01 Jan 2026 02:19:08.347,8348.347362340428,-15.63073584383705,145.832629329337,301.540783108946
01 Jan 2026 02:20:37.516,8437.516375200357,-17.28697917965519,151.3763104069485,301.8743833671297
01 Jan 2026 02:22:06.685,8526.685494300909,-18.76671815238317,157.0202895328117,302.1972621439627
01 Jan 2026 02:23:35.854,8615.854117716663,-20.0506738573245,162.7623460045442,302.4957299932157
01 Jan 2026 02:25:05.023,8705.022981273942,-21.12119318792704,168.5956040414802,302.7571420438899
01 Jan 2026 02:26:34.192,8794.192410609685,-21.96280147034175,174.5083701464561,302.9704254959197
01 Jan 2026 02:28:03.361,8883.360998192802,-22.56279832502284,-179.5156540530115,303.1265456173778
01 Jan 2026 02:29:32.530,8972.530194616411,-22.91184789887506,-173.496361837672,303.2188956852042
01 Jan 2026 02:31:01.700,9061.699559201952,-23.00438675348935,-167.456472143821,303.243565334019
01 Jan 2026 02:32:30.869,9150.868576776702,-22.83892613343134,-161.420025335115,303.1995104710049
01 Jan 2026 02:34:00.037,9240.037307376042,-22.41812645481903,-155.4108026226424,303.0885964579256
01 Jan 2026 02:35:29.206,9329.206014401279,-21.74865481318107,-149.4508413178987,302.9155183197563
01 Jan 2026 02:36:58.375,9418.374711053912,-20.84085451263136,-143.5591538119871,302.6876038375904
01 Jan 2026 02:38:27.543,9507.542803895194,-19.70827011726396,-137.7507666165685,302.4145069398091
01 Jan 2026 02:39:56.712,9596.71224768972,-18.36703009033733,-132.0359271218408,302.1077904584054
