TargetSat.UTCGregorian,TargetSat.ElapsedSecs,TargetSat.EarthMJ2000Eq.X,TargetSat.EarthMJ2000Eq.Y,TargetSat.EarthMJ2000Eq.Z,TargetSat.EarthMJ2000Eq.VX,TargetSat.EarthMJ2000Eq.VY,TargetSat.EarthMJ2000Eq.VZ,TargetSat.Earth.SMA,TargetSat.Earth.ECC,TargetSat.EarthMJ2000Eq.INC,TargetSat.EarthMJ2000Eq.RAAN,TargetSat.EarthMJ2000Eq.AOP,TargetSat.Earth.TA
02 Jan 2026 20:57:08.535,161828.5348734702,-33466.49536629595,-24248.79887395583,8355.037257645237,1.820485087481902,-2.475438326694738,0.1075817614958615,42164.16967811091,5.300823467387476e-10,11.60833458607552,136.144628040047,251.4666758518798,188.5193736408654
02 Jan 2026 21:02:08.535,162128.5348735051,-32912.38561328567,-24985.56894132205,8385.310037368059,1.873432607610229,-2.436166232281051,0.09422872115716442,42164.16967811091,5.300826225560814e-10,11.60833458607552,136.144628040047,251.4666639868261,189.7728078888636
02 Jan 2026 21:07:08.535,162428.53487354,-32342.52545730679,-25710.38202739103,8411.569980900364,1.925483586271133,-2.395728297131432,0.08083058714614957,42164.16967811091,5.300825951799522e-10,11.60833458607549,136.144628040047,251.4666572357707,191.0262370228684
02 Jan 2026 21:12:08.535,162728.534873575,-31757.18760806788,-26422.89126887795,8433.804521401868,1.976613114182813,-2.354143873041883,0.06739377121345197,42164.1696781109,5.30082813737372e-10,11.60833458607549,136.144628040047,251.4666343810937,192.2796822605002
02 Jan 2026 21:17:08.535,163028.5348736099,-31156.65218221268,-27122.7556905704,8452.003018411022,2.026796723028787,-2.311432860466988,0.05392470362115279,42164.16967811088,5.300830227523054e-10,11.60833458607549,136.144628040047,251.4666324243364,193.5331066002186
02 Jan 2026 21:22:08.535,163328.5348733305,-30541.20656926867,-27809.64036850396,8466.156762937062,2.076010397167334,-2.267615698996435,0.04042983006554227,42164.16967811091,5.300827529628939e-10,11.60833458607549,136.144628040047,251.4666317234021,194.7865296841208
02 Jan 2026 21:27:08.535,163628.5348733654,-29911.14529411531,-28483.21659024187,8476.258981627741,2.124230585124316,-2.222713357573544,0.02691560859249631,42164.16967811088,5.300832649708488e-10,11.60833458607549,136.144628040047,251.4666529345334,196.0399308559647
02 Jan 2026 21:32:08.535,163928.5348734003,-29266.76987603752,-29143.16201218219,8482.304840010764,2.171434210863863,-2.176747324460463,0.0133885065069432,42164.16967811085,5.300836628917778e-10,11.60833458607549,136.144628040047,251.4666763471914,197.2933298262901
02 Jan 2026 21:37:08.535,164228.5348734353,-28608.38868443191,-29789.16081381711,8484.291444807337,2.217598684831534,-2.129739596954839,-0.0001450027221006515,42164.16967811088,5.300831281243511e-10,11.60833458607549,136.144628040047,251.4666793097352,198.5467492467384
02 Jan 2026 21:42:08.535,164528.5348734702,-27936.31679123503,-30420.90384887056,8482.217845316782,2.262701914764677,-2.081712670862893,-0.01367844255944487,42164.16967811085,5.300837051849565e-10,11.60833458607549,136.144628040047,251.4666998640309,199.8001510754439
