TargetSat.UTCGregorian,TargetSat.ElapsedSecs,TargetSat.EarthFixed.X,TargetSat.EarthFixed.Y,TargetSat.EarthFixed.Z,TargetSat.EarthFixed.VX,TargetSat.EarthFixed.VY,TargetSat.EarthFixed.VZ,TargetSat.Earth.SMA,TargetSat.Earth.ECC,TargetSat.EarthMJ2000Eq.INC,TargetSat.EarthMJ2000Eq.RAAN,TargetSat.EarthMJ2000Eq.AOP,TargetSat.Earth.TA
02 Jan 2026 02:37:08.535,95828.5348733305,-39552.00323975349,14418.47059065164,2358.802684121802,-0.0130942964900973,0.06039451240277671,-0.588731832510954,42164.16967811104,5.300817295969572e-10,11.60833458607545,136.1446280400469,251.4669284781778,272.7661964265035
02 Jan 2026 02:42:08.535,96128.53487336542,-39555.53397565411,14436.66908890249,2181.632881770172,-0.01044021886046398,0.06090943038942687,-0.5923534624563012,42164.16967811104,5.300816812948643e-10,11.60833458607549,136.1446280400469,251.4668936627282,274.0196536262879
02 Jan 2026 02:47:08.535,96428.53487340035,-39558.26536376885,14455.00459717635,2003.419071632382,-0.007766159466219946,0.06130776910989955,-0.5956916187311454,42164.16967811104,5.300815764686879e-10,11.60833458607549,136.1446280400469,251.4669061986247,275.2730634747555
02 Jan 2026 02:52:08.535,96728.53487343527,-39560.19217646989,14473.44202174203,1824.246538807731,-0.005077236436657584,0.06158876615865116,-0.5987447038468786,42164.16967811101,5.300816094607662e-10,11.60833458607545,136.1446280400469,251.4669594509226,276.5264326068504
02 Jan 2026 02:57:08.535,97028.5348734702,-39561.31072607771,14491.9460738126,1644.201027196289,-0.002378596349550621,0.0617518837204396,-0.6015112567368956,42164.16967811099,5.300813200945814e-10,11.60833458607552,136.1446280400469,251.466999244675,277.7798151975199
02 Jan 2026 03:02:08.535,97328.53487350512,-39561.6188719233,14510.4813370764,1463.368698465839,0.0003245956193322908,0.06179680959967149,-0.6039899534557965,42164.169678111,5.300812975219972e-10,11.60833458607552,136.1446280400469,251.4669654316403,279.0332713950052
02 Jan 2026 03:07:08.535,97628.53487354005,-39561.11602444474,14529.01233548443,1281.836090818795,0.003027165582335289,0.06172345781794153,-0.6061796078129668,42164.169678111,5.300811706107535e-10,11.60833458607549,136.144628040047,251.4669506295985,280.2867085815262
02 Jan 2026 03:12:08.535,97928.53487357497,-39559.80314631407,14547.50360115553,1099.690077579025,0.005723940842699227,0.06153196877858491,-0.6080791719402394,42164.16967811102,5.300812196933409e-10,11.60833458607545,136.144628040047,251.4669166532023,281.5401649424305
02 Jan 2026 03:17:08.535,98228.5348736099,-39557.68275059399,14565.91974226246,917.0178256182172,0.008409759795050986,0.0612227089979287,-0.6096877367933582,42164.16967811102,5.300810498204269e-10,11.60833458607545,136.144628040047,251.4669172798689,282.7935867003001
02 Jan 2026 03:22:08.535,98528.5348733305,-39554.75889626618,14584.22550985406,733.9067536418289,0.011079481803278,0.06079627040404167,-0.6110045325870094,42164.169678111,5.300808885563796e-10,11.60833458607545,136.144628040047,251.4669393958824,284.0469869688513
